year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2003,55.29837091044776,47.08384908,63.42217813333333,64.26089904,37.49045693103448,40.030992390625,20.291578375,44.46608166666667,42.438216,52.29634904477612,60.295220949685536,40.449723,39.90358415909091,39.21307681372549,42.737288489130435,31.033044444444446,40.439271047619044,58.34885065833333,60.834017953125,28.2553621875,32.25138154166667,19.610263571428572,34.559501662650604,28.04250116091954,66.68715093902439,48.92693124347826,34.08009335714286,29.09195235483871,44.20016511764706,20.9069618,25.695597523809525,60.751045363636365,25.499789822580645,50.38282409,29.443049018867924,40.19532038636363,61.495965051948055,36.6406175,29.04223219402985,18.3627376,55.94680752173913,37.54934725757576,56.3762638,66.3251335511811,34.392963275862066,22.58371442857143,38.789908857142855,38.13170233333334,48.912880345454546,27.45072286111111,40.83309882608696
2004,54.41430207462687,46.57377252,63.153806933333335,63.270897786666666,37.239683362068966,39.858120015625,20.27189425,44.57114933333333,43.192581,52.46402194029851,59.97095736477988,39.822306749999996,39.31384181818182,38.65830450980392,41.96467068478261,30.593407040404042,39.7950264,57.169708775000004,59.653377609375,27.7393128125,32.07792954166667,19.414351928571428,33.976116662650604,27.75855012643678,66.09973396341464,48.25024893913044,33.63481041071429,28.583186,43.412896823529415,20.7330406,25.406197666666667,59.96086357575758,24.866489,50.29523626,29.006337773584907,39.36357030681818,60.36880872727273,35.9719545,28.336298731343284,18.4063444,55.69995497826087,37.091230924242424,55.459490536842104,65.44760448818897,34.007967896551726,22.34623307142857,38.32855315037594,37.77465292307692,47.63009532727273,27.078376375,40.4800037826087
2005,53.209850552238805,45.91966464,62.02799806666667,62.1668612,36.69993539655172,39.327766734375,19.64929625,44.376365666666665,43.037295,52.01081456716418,59.25191405031447,39.80022475,38.59908859090909,37.92375411764706,41.092773369565215,30.15686518181818,39.177069342857145,56.10355741666667,57.89989190625,27.249814875,31.58494375,19.099762642857144,33.09478812048193,27.381102494252872,65.70207230487804,47.38652113043478,33.09151892857143,27.992532139784945,42.68596476470588,20.383978199999998,24.854451333333333,59.27087609090909,24.339123193548385,49.77024874,28.57948516981132,38.631230125,59.422900506493505,35.349082055555556,27.762631597014924,17.980661,55.023230282608694,36.56633725757576,54.60516775789474,64.32919069685039,33.58326082758621,22.026450571428573,37.720543511278194,37.3006798974359,46.604790254545456,26.678547666666667,40.05914717391305
2006,55.23797128358209,47.91190724,64.0955044,64.46334910666667,37.91809267241379,40.82917259375,19.9375245,45.33349933333333,47.572793,53.7477657761194,61.50746370440252,42.09725425,40.101099045454546,39.338660166666664,42.33915968478261,31.407298151515153,40.80114865714286,58.346325758333336,60.329705578125,28.3521085,32.8708055,19.83467907142857,34.123411120481926,28.571026827586206,69.50588403658537,49.168573904347824,34.43117373214286,29.03247922580645,44.510853,21.1510199,25.542995095238094,61.828628606060605,25.170361258064517,51.60863827,29.78483250943396,39.94447665909091,62.10043622077922,36.89147563888889,28.836524597014925,18.4893076,57.48747884782609,38.126054651515155,56.2535732631579,66.52968895669291,35.21133748275862,23.139510142857144,39.13127440601504,38.82743135897436,48.482913054545456,27.715290652777778,41.93408091304348
2007,56.218189552238805,49.36848796,65.04034893333333,65.75797883999999,38.26519562068965,41.6492055,19.8438555,44.99185766666667,50.284817,54.15363582089552,62.59171994968553,43.31179125,41.043209409090906,40.21623687254902,43.220914130434785,32.148066707070704,41.883228085714286,59.72089798333333,61.80447465625,29.0508925,33.464946625,20.301929,34.76993954216867,29.252843045977013,71.63590948780488,50.04183110434783,35.21799160714286,29.761350924731182,45.43931411764706,21.6408485,25.824802904761906,63.52838281818182,25.74055001612903,52.44892095,30.570689452830187,40.85676946590909,63.90465484415584,37.83788858333333,29.50218295522388,18.946422000000002,58.56657310869565,39.13206371212121,57.19591323157895,67.869899496063,36.249001620689654,23.868747857142857,39.90311359398496,39.72090182051282,49.97922496363636,28.435701972222223,43.10068047826087
2008,55.048130179104476,49.23915484,63.006401333333336,64.846811399999993,37.274174879310344,40.845401453125,19.245078875,42.65370766666667,50.715292,52.22721710447761,61.055084849056605,42.9382005,40.332193454545454,39.54944061764706,42.54235797826087,31.686413585858585,41.46524565714286,58.9259255,60.90018,28.564824375,32.53630275,19.57548285714286,34.09700515662651,28.71816464367816,70.11893190243903,49.150516852173915,34.89558755357143,29.342995731182796,44.6929115882353,21.1658694,25.03600419047619,62.702445545454545,25.476439435483872,51.2950109,30.218553943396227,40.29117580681818,63.28984625974026,37.47253380555556,29.141620791044776,18.287444,57.252894391304345,38.57573372727273,56.01425515789474,66.90097048818897,35.663981586206894,23.607147285714287,39.1146744887218,39.0568601025641,49.91288921818182,28.003739930555557,42.26025643478261
2009,52.60353841791045,47.65809276,59.53135266666666,62.30253104,35.24703974137931,38.81887121875,18.0581875,38.62651666666667,48.64513,49.21248217910448,58.07198022641509,40.8393435,38.39033490909091,37.83067278431373,41.0353964673913,30.315208898989898,39.80667280952381,56.641732475,58.49622165625,27.3212724375,30.804016708333332,18.732474357142856,32.7820965060241,27.370189218390806,66.8688289390244,46.941164182608695,33.60012878571428,28.12216052688172,42.500720882352944,19.945907300000002,23.50354819047619,60.40692063636364,24.64726535483871,48.53496787,29.063484471698114,38.712677840909095,60.964681155844154,35.65942588888889,28.00524537313433,17.2134534,54.18374304347826,37.06899840909091,53.36405215789474,64.22549618110236,33.81043979310345,22.659621357142857,37.36477667669173,37.23421182051282,48.67610298181818,26.803607236111112,40.15977713043478
2010,48.29905264179104,44.0117586,53.54916213333333,57.2617714,32.15249363793104,35.2747674375,16.080325375,34.47211166666666,45.099561,44.541418805970146,52.91037408805031,36.59096875,35.012612295454545,34.69716902941177,37.80705907608696,27.660680757575758,36.47994100952381,52.30693304166667,53.9719045625,24.9731755,27.813734874999998,16.83350642857143,30.24228734939759,25.003839931034484,60.83803086585366,43.01608044347826,30.776178535714287,25.74955575268817,38.64470517647059,18.1692889,21.33279938095238,55.2186436060606,22.881787338709678,43.95484872,26.791676132075473,35.45594779545455,55.92499354545455,32.39305927777778,25.962561059701493,15.4180326,49.31903358695652,34.183280318181815,48.802429631578946,58.89912783464567,30.701036724137932,20.8989205,34.18158865413534,33.72623287179487,45.31796116363636,24.455841180555556,36.55017104347826
2011,45.11180455223881,41.11196332,49.44183233333334,53.56463190666667,29.72533751724138,32.488633828125,14.496067125,31.587383,41.899038,41.290516283582086,49.12941231446541,33.46010425,32.43203115909091,32.275270666666664,35.39376171739131,25.614714868686868,33.884012523809524,49.0996442,50.610795546874996,23.306990312499998,25.615723583333335,15.332148714285713,28.314096192771085,23.1417193908046,56.18234024390244,40.143927947826086,28.599759535714284,23.915580451612904,35.839681999999996,16.7693391,19.697861380952382,51.44977778787879,21.504475806451612,40.62340531,25.067011226415094,33.07149419318182,52.22734414285714,29.99360536111111,24.38659298507463,14.3051406,45.67816621739131,32.02470307575758,45.58069373684211,54.69874483858268,28.251381379310345,19.585765071428572,31.76808967669173,31.19485553846154,42.80759394545455,22.609256805555557,33.842866826086954
2012,42.99219980597015,39.02834464,46.97205533333333,50.982913786666664,28.05834070689655,30.603481640625,13.468093625,29.510381,38.168835,39.40390753731344,46.55675996855346,31.30832925,30.853485886363636,30.71105055882353,33.797050195652176,24.28646694949495,32.1010978,46.98029531666667,48.280820875,22.201266625,24.010148541666666,14.33345857142857,27.034234939759035,21.93890279310345,53.02062,38.25315667826087,27.230587017857143,22.724944559139786,34.048679,15.977905,18.284865523809525,49.06405687878788,20.508273338709678,38.32966243,23.862881981132077,31.56556178409091,49.800880012987015,28.34958936111111,23.313446388059702,13.4817122,43.251851673913045,30.56322137878788,43.50089634736842,52.12075171653543,26.70518479310345,18.67693307142857,30.180080007518796,29.373124743589745,41.07984130909091,21.37564411111111,32.141300826086955
