Year,State,mean
2003,Mississippi,66.68715093902439
2003,Texas,66.3251335511811
2003,Arkansas,64.26089904
2003,Arizona,63.42217813333333
2003,Oklahoma,61.495965051948055
2003,Louisiana,60.834017953125
2003,New Mexico,60.751045363636365
2003,Georgia,60.295220949685536
2003,Kentucky,58.34885065833333
2003,Tennessee,56.3762638
2003,South Carolina,55.94680752173913
2003,Alabama,55.29837091044776
2003,Florida,52.29634904477612
2003,North Carolina,50.38282409
2003,Missouri,48.92693124347826
2004,Mississippi,66.09973396341464
2004,Texas,65.44760448818897
2004,Arkansas,63.270897786666666
2004,Arizona,63.153806933333335
2004,Oklahoma,60.36880872727273
2004,Georgia,59.97095736477988
2004,New Mexico,59.96086357575758
2004,Louisiana,59.653377609375
2004,Kentucky,57.169708775000004
2004,South Carolina,55.69995497826087
2004,Tennessee,55.459490536842104
2004,Alabama,54.41430207462687
2004,Florida,52.46402194029851
2004,North Carolina,50.29523626
2004,Missouri,48.25024893913044
2005,Mississippi,65.70207230487804
2005,Texas,64.32919069685039
2005,Arkansas,62.1668612
2005,Arizona,62.02799806666667
2005,Oklahoma,59.422900506493505
2005,New Mexico,59.27087609090909
2005,Georgia,59.25191405031447
2005,Louisiana,57.89989190625
2005,Kentucky,56.10355741666667
2005,South Carolina,55.023230282608694
2005,Tennessee,54.60516775789474
2005,Alabama,53.209850552238805
2005,Florida,52.01081456716418
2005,North Carolina,49.77024874
2005,Missouri,47.38652113043478
2006,Mississippi,69.50588403658537
2006,Texas,66.52968895669291
2006,Arkansas,64.46334910666667
2006,Arizona,64.0955044
2006,Oklahoma,62.10043622077922
2006,New Mexico,61.828628606060605
2006,Georgia,61.50746370440252
2006,Louisiana,60.329705578125
2006,Kentucky,58.346325758333336
2006,South Carolina,57.48747884782609
2006,Tennessee,56.2535732631579
2006,Alabama,55.23797128358209
2006,Florida,53.7477657761194
2006,North Carolina,51.60863827
2006,Missouri,49.168573904347824
2007,Mississippi,71.63590948780488
2007,Texas,67.869899496063
2007,Arkansas,65.75797883999999
2007,Arizona,65.04034893333333
2007,Oklahoma,63.90465484415584
2007,New Mexico,63.52838281818182
2007,Georgia,62.59171994968553
2007,Louisiana,61.80447465625
2007,Kentucky,59.72089798333333
2007,South Carolina,58.56657310869565
2007,Tennessee,57.19591323157895
2007,Alabama,56.218189552238805
2007,Florida,54.15363582089552
2007,North Carolina,52.44892095
2007,District of Columbia,50.284817
2008,Mississippi,70.11893190243903
2008,Texas,66.90097048818897
2008,Arkansas,64.846811399999993
2008,Oklahoma,63.28984625974026
2008,Arizona,63.006401333333336
2008,New Mexico,62.702445545454545
2008,Georgia,61.055084849056605
2008,Louisiana,60.90018
2008,Kentucky,58.9259255
2008,South Carolina,57.252894391304345
2008,Tennessee,56.01425515789474
2008,Alabama,55.048130179104476
2008,Florida,52.22721710447761
2008,North Carolina,51.2950109
2008,District of Columbia,50.715292
2009,Mississippi,66.8688289390244
2009,Texas,64.22549618110236
2009,Arkansas,62.30253104
2009,Oklahoma,60.964681155844154
2009,New Mexico,60.40692063636364
2009,Arizona,59.53135266666666
2009,Louisiana,58.49622165625
2009,Georgia,58.07198022641509
